City Id,State,State Abbreviation,Municipality,Link
392,Rhode Island,RI,Kingston South Kingstown,https://www.hrc.org/resources/municipalities/kingston-south-kingstown-ri
393,Rhode Island,RI,Narragansett,https://www.hrc.org/resources/municipalities/narragansett-ri
394,Rhode Island,RI,Newport,https://www.hrc.org/resources/municipalities/newport-ri
395,Rhode Island,RI,Pawtucket,https://www.hrc.org/resources/municipalities/pawtucket-ri
396,Rhode Island,RI,Providence,https://www.hrc.org/resources/municipalities/providence-ri
397,Rhode Island,RI,Warwick,https://www.hrc.org/resources/municipalities/warwick-ri
398,South Carolina,SC,Charleston,https://www.hrc.org/resources/municipalities/charleston-sc
399,South Carolina,SC,Clemson,https://www.hrc.org/resources/municipalities/clemson-sc
400,South Carolina,SC,Columbia,https://www.hrc.org/resources/municipalities/columbia-sc
401,South Carolina,SC,Greenville,https://www.hrc.org/resources/municipalities/greenville-sc
402,South Carolina,SC,Mount Pleasant,https://www.hrc.org/resources/municipalities/mount-pleasant-sc
403,South Carolina,SC,Myrtle Beach,https://www.hrc.org/resources/municipalities/myrtle-beach-sc
404,South Carolina,SC,North Charleston,https://www.hrc.org/resources/municipalities/north-charleston-sc
405,South Carolina,SC,Rock Hill,https://www.hrc.org/resources/municipalities/rock-hill-sc
406,South Dakota,SD,Aberdeen,https://www.hrc.org/resources/municipalities/aberdeen-sd
407,South Dakota,SD,Brookings,https://www.hrc.org/resources/municipalities/brookings-sd
408,South Dakota,SD,Mitchell,https://www.hrc.org/resources/municipalities/mitchell-sd
409,South Dakota,SD,Pierre,https://www.hrc.org/resources/municipalities/pierre-sd
410,South Dakota,SD,Rapid City,https://www.hrc.org/resources/municipalities/rapid-city-sd
411,South Dakota,SD,Sioux Falls,https://www.hrc.org/resources/municipalities/sioux-falls-sd
412,South Dakota,SD,Spearfish,https://www.hrc.org/resources/municipalities/spearfish-sd
413,South Dakota,SD,Vermillion,https://www.hrc.org/resources/municipalities/vermillion-sd
414,South Dakota,SD,Watertown,https://www.hrc.org/resources/municipalities/watertown-sd
415,Tennessee,TN,Chattanooga,https://www.hrc.org/resources/municipalities/chattanooga-tn
416,Tennessee,TN,Clarksville,https://www.hrc.org/resources/municipalities/clarksville-tn
417,Tennessee,TN,Franklin,https://www.hrc.org/resources/municipalities/franklin-tn
418,Tennessee,TN,Johnson City,https://www.hrc.org/resources/municipalities/johnson-city-tn
419,Tennessee,TN,Knoxville,https://www.hrc.org/resources/municipalities/knoxville-tn
420,Tennessee,TN,Memphis,https://www.hrc.org/resources/municipalities/memphis-tn
421,Tennessee,TN,Murfreesboro,https://www.hrc.org/resources/municipalities/murfreesboro-tn
422,Tennessee,TN,Nashville,https://www.hrc.org/resources/municipalities/nashville-tn
423,Texas,TX,Amarillo,https://www.hrc.org/resources/municipalities/amarillo-tx
424,Texas,TX,Arlington,https://www.hrc.org/resources/municipalities/arlington-tx
425,Texas,TX,Austin,https://www.hrc.org/resources/municipalities/austin-tx
426,Texas,TX,Brownsville,https://www.hrc.org/resources/municipalities/brownsville-tx
427,Texas,TX,College Station,https://www.hrc.org/resources/municipalities/college-station-tx
428,Texas,TX,Corpus Christi,https://www.hrc.org/resources/municipalities/corpus-christi-tx
429,Texas,TX,Dallas,https://www.hrc.org/resources/municipalities/dallas-tx
430,Texas,TX,Denton,https://www.hrc.org/resources/municipalities/denton-tx
431,Texas,TX,El Paso,https://www.hrc.org/resources/municipalities/el-paso-tx
432,Texas,TX,Fort Worth,https://www.hrc.org/resources/municipalities/fort-worth-tx
433,Texas,TX,Garland,https://www.hrc.org/resources/municipalities/garland-tx
434,Texas,TX,Grand Prairie,https://www.hrc.org/resources/municipalities/grand-prairie-tx
435,Texas,TX,Houston,https://www.hrc.org/resources/municipalities/houston-tx
436,Texas,TX,Irving,https://www.hrc.org/resources/municipalities/irving-tx
437,Texas,TX,Killeen,https://www.hrc.org/resources/municipalities/killeen-tx
438,Texas,TX,Laredo,https://www.hrc.org/resources/municipalities/laredo-tx
439,Texas,TX,Lubbock,https://www.hrc.org/resources/municipalities/lubbock-tx
440,Texas,TX,Mcallen,https://www.hrc.org/resources/municipalities/mcallen-tx
441,Texas,TX,Mckinney,https://www.hrc.org/resources/municipalities/mckinney-tx
442,Texas,TX,Mesquite,https://www.hrc.org/resources/municipalities/mesquite-tx
443,Texas,TX,Pasadena,https://www.hrc.org/resources/municipalities/pasadena-tx
444,Texas,TX,Plano,https://www.hrc.org/resources/municipalities/plano-tx
445,Texas,TX,Round Rock,https://www.hrc.org/resources/municipalities/round-rock-tx
446,Texas,TX,San Antonio,https://www.hrc.org/resources/municipalities/san-antonio-tx
447,Texas,TX,Waco,https://www.hrc.org/resources/municipalities/waco-tx
448,Utah,UT,Logan,https://www.hrc.org/resources/municipalities/logan-ut
449,Utah,UT,Ogden City,https://www.hrc.org/resources/municipalities/ogden-city-ut
450,Utah,UT,Orem,https://www.hrc.org/resources/municipalities/orem-ut
451,Utah,UT,Park City,https://www.hrc.org/resources/municipalities/park-city-ut
452,Utah,UT,Provo,https://www.hrc.org/resources/municipalities/provo-ut
453,Utah,UT,Salt Lake City,https://www.hrc.org/resources/municipalities/salt-lake-city-ut
454,Utah,UT,West Jordan,https://www.hrc.org/resources/municipalities/west-jordan-ut
455,Utah,UT,West Valley City,https://www.hrc.org/resources/municipalities/west-valley-city-ut
456,Vermont,VT,Barre,https://www.hrc.org/resources/municipalities/barre-vt
457,Vermont,VT,Brattleboro,https://www.hrc.org/resources/municipalities/brattleboro-vt
458,Vermont,VT,Burlington,https://www.hrc.org/resources/municipalities/burlington-vt
459,Vermont,VT,Castleton,https://www.hrc.org/resources/municipalities/castleton-vt
460,Vermont,VT,Essex,https://www.hrc.org/resources/municipalities/essex-vt
461,Vermont,VT,Montpelier,https://www.hrc.org/resources/municipalities/montpelier-vt
462,Vermont,VT,Rutland,https://www.hrc.org/resources/municipalities/rutland-vt
463,Vermont,VT,South Burlington,https://www.hrc.org/resources/municipalities/south-burlington-vt
464,Vermont,VT,Winooski,https://www.hrc.org/resources/municipalities/winooski-vt
465,Virginia,VA,Alexandria,https://www.hrc.org/resources/municipalities/alexandria-va
466,Virginia,VA,Arlington County,https://www.hrc.org/resources/municipalities/arlington-county-va
467,Virginia,VA,Charlottesville,https://www.hrc.org/resources/municipalities/charlottesville-va
468,Virginia,VA,Chesapeake,https://www.hrc.org/resources/municipalities/chesapeake-va
469,Virginia,VA,Fairfax County,https://www.hrc.org/resources/municipalities/fairfax-county-va
470,Virginia,VA,Hampton,https://www.hrc.org/resources/municipalities/hampton-va
471,Virginia,VA,Newport News,https://www.hrc.org/resources/municipalities/newport-news-va
472,Virginia,VA,Norfolk,https://www.hrc.org/resources/municipalities/norfolk-va
473,Virginia,VA,Richmond,https://www.hrc.org/resources/municipalities/richmond-va
474,Virginia,VA,Roanoke,https://www.hrc.org/resources/municipalities/roanoke-va
475,Virginia,VA,Virginia Beach,https://www.hrc.org/resources/municipalities/virginia-beach-va
476,Washington,WA,Bellevue,https://www.hrc.org/resources/municipalities/bellevue-wa
477,Washington,WA,Bellingham,https://www.hrc.org/resources/municipalities/bellingham-wa
478,Washington,WA,Kent,https://www.hrc.org/resources/municipalities/kent-wa
479,Washington,WA,Olympia,https://www.hrc.org/resources/municipalities/olympia-wa
480,Washington,WA,Pullman,https://www.hrc.org/resources/municipalities/pullman-wa
481,Washington,WA,Seattle,https://www.hrc.org/resources/municipalities/seattle-wa
482,Washington,WA,Spokane,https://www.hrc.org/resources/municipalities/spokane-wa
483,Washington,WA,Tacoma,https://www.hrc.org/resources/municipalities/tacoma-wa
484,Washington,WA,Vancouver,https://www.hrc.org/resources/municipalities/vancouver-wa
485,Washington,WA,Vashon King County,https://www.hrc.org/resources/municipalities/vashon-king-county-wa
486,West Virginia,WV,Charles Town,https://www.hrc.org/resources/municipalities/charles-town-wv
487,West Virginia,WV,Charleston,https://www.hrc.org/resources/municipalities/charleston-wv
488,West Virginia,WV,Huntington,https://www.hrc.org/resources/municipalities/huntington-wv
489,West Virginia,WV,Lewisburg,https://www.hrc.org/resources/municipalities/lewisburg-wv
490,West Virginia,WV,Morgantown,https://www.hrc.org/resources/municipalities/morgantown-wv
491,West Virginia,WV,Parkersburg,https://www.hrc.org/resources/municipalities/parkersburg-wv
492,West Virginia,WV,Wheeling,https://www.hrc.org/resources/municipalities/wheeling-wv
493,Wisconsin,WI,Appleton,https://www.hrc.org/resources/municipalities/appleton-wi
494,Wisconsin,WI,Green Bay,https://www.hrc.org/resources/municipalities/green-bay-wi
495,Wisconsin,WI,Kenosha,https://www.hrc.org/resources/municipalities/kenosha-wi
496,Wisconsin,WI,Madison,https://www.hrc.org/resources/municipalities/madison-wi
497,Wisconsin,WI,Milwaukee,https://www.hrc.org/resources/municipalities/milwaukee-wi
498,Wisconsin,WI,Oshkosh,https://www.hrc.org/resources/municipalities/oshkosh-wi
499,Wisconsin,WI,Racine,https://www.hrc.org/resources/municipalities/racine-wi
500,Wyoming,WY,Casper,https://www.hrc.org/resources/municipalities/casper-wy
501,Wyoming,WY,Cheyenne,https://www.hrc.org/resources/municipalities/cheyenne-wy
502,Wyoming,WY,Gillette,https://www.hrc.org/resources/municipalities/gillette-wy
503,Wyoming,WY,Jackson,https://www.hrc.org/resources/municipalities/jackson-wy
504,Wyoming,WY,Laramie,https://www.hrc.org/resources/municipalities/laramie-wy
505,Wyoming,WY,Rock Springs,https://www.hrc.org/resources/municipalities/rock-springs-wy
506,Wyoming,WY,Sheridan,https://www.hrc.org/resources/municipalities/sheridan-wy
