Row Id,City Id,City,State,URL,Score Id,Category,Criterion,Level of government,Orientation/Identity,Score
7590,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,44,Law Enforcement,LGBTQ+ Police Liaison or Task Force,City,NA,0
7591,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,45,Law Enforcement,Reported 2019 Hate Crimes Statistics to the FBI,City,NA,12
7592,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,46,Leadership on LGBTQ+ Equality,Leadership's Public Position on LGBTQ+ Equality,City,NA,1
7593,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,47,Leadership on LGBTQ+ Equality,Leadership's Pro-Equality Legislative or Policy Efforts,City,NA,0
7594,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,48,Leadership on LGBTQ+ Equality,Openly LGBTQ+ elected or appointed municipal leaders,City,NA,0
7595,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,49,Leadership on LGBTQ+ Equality,City test limits of restrictive state law,City,NA,0
7596,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,1,Non-Discrimination Laws,Employment,State,Sexual Orientation,0
7597,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,2,Non-Discrimination Laws,Employment,State,Gender Identity,0
7598,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,3,Non-Discrimination Laws,Employment,County,Sexual Orientation,0
7599,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,4,Non-Discrimination Laws,Employment,County,Gender Identity,0
7600,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,5,Non-Discrimination Laws,Employment,City,Sexual Orientation,5
7601,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,6,Non-Discrimination Laws,Employment,City,Gender Identity,5
7602,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,7,Non-Discrimination Laws,Housing,State,Sexual Orientation,0
7603,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,8,Non-Discrimination Laws,Housing,State,Gender Identity,0
7604,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,9,Non-Discrimination Laws,Housing,County,Sexual Orientation,0
7605,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,10,Non-Discrimination Laws,Housing,County,Gender Identity,0
7606,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,11,Non-Discrimination Laws,Housing,City,Sexual Orientation,5
7607,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,12,Non-Discrimination Laws,Housing,City,Gender Identity,5
7608,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,13,Non-Discrimination Laws,Public Accommodations,State,Sexual Orientation,0
